"Species","Limb_width","Limb_length","Observer","Volume"
"Species_C",4.43952435344779,8.5791868726014,"Charlie",132.803308462436
"Species_B",4.76982251051672,10.5137674183131,"Charlie",187.867944864911
"Species_E",6.55870831414912,9.50661624307525,"Charlie",321.182946650479
"Species_B",5.07050839142458,9.30491480120453,"Alice",187.890704095722
"Species_C",5.12928773516095,8.09676286546997,"Alice",167.307506130744
"Species_C",6.71506498688328,9.90994455038216,"Charlie",350.963171454112
"Species_B",5.4609162059892,8.43019106108585,"Bob",197.450539261379
"Species_C",3.73493876539347,6.66411612682373,"Charlie",73.0128682289031
"Species_C",4.31314714810647,9.23954695942447,"Bob",134.99855135431
"Species_A",4.55433802990004,11.8379932181215,"Alice",192.849488425396
"Species_D",6.22408179743946,8.84930607478322,"Bob",269.246260981731
"Species_A",5.35981382705736,11.2159286444501,"Bob",253.060597156683
"Species_B",5.40077145059405,6.76423458342167,"Bob",154.960190044491
"Species_E",5.11068271594512,9.88887606895092,"Alice",202.859175004065
"Species_B",4.44415886524593,11.0388144078869,"Alice",171.234576355507
"Species_E",6.78691313680308,10.6023067243334,"Alice",383.561340059496
"Species_D",5.49785047822924,10.2113523882979,"Charlie",242.414723479429
"Species_E",3.03338284337036,8.71858798338925,"Charlie",63.0072446643009
"Species_C",5.70135590156369,8.30059130793284,"Alice",211.911837420356
"Species_A",4.52720859227207,7.95174241879017,"Alice",128.000950681144
"Species_E",3.93217629401315,10.2352931942003,"Charlie",124.295707389748
"Species_C",4.7820250853417,8.1050507716304,"Alice",145.569141601061
"Species_D",3.97399555169276,9.01888511259866,"Charlie",111.865840320173
"Species_D",4.27110877070886,9.4878156156035,"Bob",135.936905912444
"Species_E",4.37496073215074,13.6877240104644,"Alice",205.764021763805
"Species_E",3.31330668925759,8.69610019660908,"Alice",74.9786628423274
"Species_E",5.83778704449453,10.4707731445697,"Charlie",280.262588359633
"Species_D",5.15337311783651,10.1559216991274,"Bob",211.832406773854
"Species_A",3.86186306298805,8.07628673173974,"Charlie",94.6009180358761
"Species_A",6.25381492106993,9.8573838277528,"Bob",302.790048496464
"Species_B",5.42646422147681,12.8891017168467,"Alice",298.08932265606
"Species_A",4.70492851700773,10.9030081061584,"Bob",189.5580687173
"Species_B",5.89512566104502,10.0824658439859,"Charlie",275.196416752869
"Species_B",5.87813348753304,9.15500633532075,"Bob",248.443374340107
"Species_A",5.82158108163749,5.89350555691897,"Charlie",156.872016758318
"Species_E",5.68864025410009,12.2626744268284,"Charlie",311.667860398926
"Species_C",5.55391765353759,7.07871985815036,"Alice",171.491847599168
"Species_B",4.93808828942328,11.4798950217547,"Bob",219.859633205984
"Species_B",4.69403733626008,13.818207138435,"Alice",239.130327830086
"Species_C",4.61952899898762,7.1122136780564,"Bob",119.203792507339
"Species_E",4.30529302107949,11.4035686707494,"Bob",166.01070498622
"Species_C",4.7920827219804,9.47560502119506,"Bob",170.901330355617
